Name,Redshift,Classification,Requested
2MASX J01553951+1429306,0.050460,S0,S0
2MASX J01555034+0043196,0.046424,S0/a,S0
2MASX J01555034+0043196,0.046424,S0/a,S0/a
2MASX J01565202+1312461,0.044441,E0,E
2MASX J01572273-0930304,0.042932,S0^-,S0
2MASX J01575584+1321295,0.044325,S0^-,S0
2MASX J01583501-0029079,0.022290,S0^-,S0
2MASX J01594647+1227270,0.031949,,S0
2MASX J01594647+1227270,0.031949,,S0/a
2MASX J02003997-7610383,0.057463,SA0-,S0
2MASX J02003997-7610383,0.057463,SA0-,A
2MASX J02015727-0107524,0.042366,S0,S0
2MASX J02045578+1400554,0.031032,E0,E
2MASX J02051989+1315304,0.026965,E0,E
2MASX J02054455+0052400,0.041724,NLAGN,S0
2MASX J02054455+0052400,0.041724,NLAGN,S0/a
2MASX J02071603+0034229,0.042014,S0^-,S0
2MASX J02113146+1412026,0.025393,S0/a,S0
2MASX J02113146+1412026,0.025393,S0/a,S0/a
2MASX J02114828+1309207,0.077902,E0,E
2MASX J02141213+1326123,0.041122,S0/a,S0/a
2MASX J02141213+1326123,0.041122,S0/a,S0
2MASX J02201910-0804473,0.039802,S0^-,S0
2MASX J02342651-3234519,0.021618,(R)S0^0^,S0
2MASX J02380777-1809060,0.060318,S0,S0
2MASX J02443597-1940340,0.029384,S0,S0
2MASX J02524007-3618008,0.097560,S0,S0
2MASX J02550661-0009448,0.028010,S0/a,S0
2MASX J02550661-0009448,0.028010,S0/a,S0/a
2MASX J02564046-0056138,0.043259,S0,S0
2MASX J02583261-6813363,0.072907,S0,S0
2MASX J03002128-1818123,0.055362,S0,S0
2MASX J03012623-0004257,0.042858,SF,S0
2MASX J03032138-3938539,0.064788,S0,S0
2MASX J03061797-2130087,0.004450,S0,S0
2MASX J03062477-1809427,0.023750,S0,S0
2MASX J03082150-3635446,0.068958,S0,S0
2MASX J03095826-0033599,0.037656,S0/a,S0/a
2MASX J03095826-0033599,0.037656,S0/a,S0
2MASX J03102231+0025364,0.047903,S0/a,S0
2MASX J03102231+0025364,0.047903,S0/a,S0/a
2MASX J03254456-0030307,0.038716,S0^-,S0
2MASX J03295245-4602201,0.071029,S0,S0
2MASX J03300052-4605481,0.067487,S0,S0
2MASX J03303770-5232576,0.063070,E/S0,S0
2MASX J03304695-0053066,0.020530,E0,E
2MASX J03305431-5225095,0.059761,S0,S0
2MASX J03311533-5222275,0.060475,S0,S0
2MASX J03341783+0105029,0.047761,S0,S0
2MASX J03393720-0537581,0.020912,E0,E
2MASX J03464691-4255065,0.090376,Sa,E
2MASX J03521859-5456582,0.046015,S0,S0
2MASX J03584698-3620111,0.075223,S0,S0
2MASX J04005301-5249379,0.036015,(R)SB(s)b? pec,B
2MASX J04174509-4035549,0.021488,(R')SA(r)0/a:,S0
2MASX J04202346-4644503,0.057071,S0,S0
2MASX J04204066-2550275,0.033270,S0,S0
2MASX J04225437-2748275,0.074848,E,E
2MASX J04271278-5434453,0.043267,S0,S0
2MASX J04292694-6140452,0.065885,S0,S0
2MASX J04302197-6132001,0.056230,BrClG;S0      WLRG,S0
2MASX J04311680-6130064,0.052766,E,E
2MASX J04422994-4412036,0.042930,E,E
2MASX J04465321-4758053,0.107666,S0,S0
2MASX J05231012-3140588,0.111864,S0,S0
2MASX J05344003-2819567,0.018446,E,E
2MASX J05441251-2534512,0.045358,S0,S0
2MASX J05453627-2555305,0.045295,S0,S0
2MASX J05501771-1017516,0.002985,SB(r)b?,B
2MASX J06004903-5835296,0.037226,SB(s)0^0^ pec;E/D,S0
2MASX J06004903-5835296,0.037226,SB(s)0^0^ pec;E/D,B
2MASX J07431915+4510122,0.042521,S0/a,S0
2MASX J07431915+4510122,0.042521,S0/a,S0/a
2MASX J07455640+2322264,0.065177,E0,E
2MASX J07455679+1808164,0.051459,2MASS Extended Ver.2,E
2MASX J07462643+2202025,0.046583,S0^-,S0
2MASX J07493549+3025002,0.059762,E0,E
2MASX J07501104+3726486,0.076165,E0,E
2MASX J07534302+2130021,0.048043,S0/a,S0
2MASX J07534302+2130021,0.048043,S0/a,S0/a
2MASX J07570807+2309345,0.047218,S0,S0
2MASX J07582571+2842132,0.014016,,S0/a
2MASX J07582571+2842132,0.014016,,S0
2MASX J07595630+3946122,0.013298,S0/a,S0
2MASX J07595630+3946122,0.013298,S0/a,S0/a
2MASX J08020459+2659369,0.047327,S0/a,S0/a
2MASX J08020459+2659369,0.047327,S0/a,S0
2MASX J08041269+3957420,0.041311,S0/a,S0
2MASX J08041269+3957420,0.041311,S0/a,S0/a
2MASX J08043556+5042305,0.022721,S0,S0
2MASX J08090662+4533159,0.047744,E0,E
2MASX J08101619+2746183,0.037383,S0,S0
2MASX J08195622+0547310,0.078392,E0,E
2MASX J08204148+4922304,0.077383,BrClG,E
2MASX J08213009+2533572,0.073344,S0^-,S0
2MASX J08225652+0348326,0.029468,S0,S0
2MASX J08295250+3033552,0.065614,S0^-,S0
2MASX J08342768+4200201,0.026056,S0,S0
2MASX J08351686+4423348,0.038062,E0,E
2MASX J08382254+0421211,0.047492,E0,E
2MASX J08413542+4207198,0.031338,S0,S0
2MASX J08435728+3936188,0.024721,S0/a,S0/a
2MASX J08435728+3936188,0.024721,S0/a,S0
2MASX J08441074+5358507,0.044829,S0^-,S0
2MASX J08465431+0233361,0.028666,S0,S0
2MASX J08473472+4614468,0.029236,S0,S0
2MASX J08535557+5421188,0.045718,E0,E
2MASX J09025712+3047030,0.014044,S0/a,S0
2MASX J09025712+3047030,0.014044,S0/a,S0/a
2MASX J09051183+0453332,0.057994,S0,S0
2MASX J09053008+0328232,0.028161,S0/a,S0/a
2MASX J09053008+0328232,0.028161,S0/a,S0
2MASX J09054100+3324217,0.063735,S0^-,S0
2MASX J09082319-0938200,0.054071,S0,S0
2MASX J09084127-0934377,0.058967,S0,S0
2MASX J09090276-0938467,0.057036,S0,S0
2MASX J09092911-0937141,0.051599,S0,S0
2MASX J09112999+4528060,0.026825,Sy2,S0/a
2MASX J09112999+4528060,0.026825,Sy2,S0
2MASX J09134772+3252361,0.049622,S0/a,S0/a
2MASX J09134772+3252361,0.049622,S0/a,S0
2MASX J09135760+0139369,0.055463,S0/a,S0/a
2MASX J09135760+0139369,0.055463,S0/a,S0
2MASX J09161069+3331471,0.022766,S0^-,S0
2MASX J09165818+3440021,0.021935,S0/a,S0/a
2MASX J09165818+3440021,0.021935,S0/a,S0
2MASX J09184171+5225234,0.025442,S0,S0
2MASX J09185936+0939520,0.055476,E0,E
2MASX J09201406-6013562,,SB(s)m,B
2MASX J09224493-0020562,0.058264,E0,E
2MASX J09271011+3517273,0.016272,S0/a,S0/a
2MASX J09271011+3517273,0.016272,S0/a,S0
2MASX J09283775+3646113,0.028134,S0,S0
2MASX J09284412+4448575,0.025086,S0^-,S0
2MASX J09285986+4016414,0.027680,S0/a,S0
2MASX J09285986+4016414,0.027680,S0/a,S0/a
2MASX J09293525-0054043,0.069035,E0,E
2MASX J09294755+3531516,0.053495,S0/a,S0
2MASX J09294755+3531516,0.053495,S0/a,S0/a
2MASX J09305397+3526230,0.027664,S0,S0
2MASX J09395471+0928309,0.018692,S0/a,S0/a
2MASX J09395471+0928309,0.018692,S0/a,S0
2MASX J09421254+5652253,0.043054,S0/a,S0
2MASX J09421254+5652253,0.043054,S0/a,S0/a
2MASX J09423658+0234162,0.060299,E0,E
2MASX J09442305+3420160,0.077404,E0,E
2MASX J09460491+0052189,0.026808,S0,S0
2MASX J09462902+5438413,0.046540,S0,S0
2MASX J09515017+0822139,0.040538,S0/a,S0/a
2MASX J09515017+0822139,0.040538,S0/a,S0
2MASX J09541732+0709154,0.073951,S0^-,S0
2MASX J09542026+0217515,0.020535,S0/a,S0/a
2MASX J09542026+0217515,0.020535,S0/a,S0
2MASX J09542961+1035298,0.039687,S0/a,S0
2MASX J09542961+1035298,0.039687,S0/a,S0/a
2MASX J09575187+0145190,0.031993,Sa(f)          HII,S0
2MASX J09575187+0145190,0.031993,Sa(f)          HII,S0/a
2MASX J09582367+3759231,0.050160,S0/a,S0/a
2MASX J09582367+3759231,0.050160,S0/a,S0
2MASX J09590327+1302211,0.035631,S0^-,S0
2MASX J09592632+3817257,0.023381,S0/a,S0
2MASX J09592632+3817257,0.023381,S0/a,S0/a
2MASX J10062014+0307287,0.022647,S0/a,S0
2MASX J10062014+0307287,0.022647,S0/a,S0/a
2MASX J10062481+0113577,0.045503,S0/a,S0
2MASX J10062481+0113577,0.045503,S0/a,S0/a
2MASX J10075077+5444173,0.048146,S0,S0
2MASX J10082457+3728579,0.052414,E0,E
2MASX J10100744+4248376,0.073812,S0/a,S0
2MASX J10100744+4248376,0.073812,S0/a,S0/a
2MASX J10112113+3752513,0.053195,E0,E
2MASX J10112649+3826493,0.021934,S0/a,S0
2MASX J10112649+3826493,0.021934,S0/a,S0/a
2MASX J10134639-0057054,0.046502,Sb(f),S0
2MASX J10143621-0053154,0.043890,Sb(f),S0
2MASX J10200164+0830533,0.045276,S0^-,S0
2MASX J10232244+1305365,0.032086,E,S0
2MASX J10232244+1305365,0.032086,E,S0/a
2MASX J10242583+4144302,0.042205,S0/a,S0
2MASX J10242583+4144302,0.042205,S0/a,S0/a
2MASX J10252033+0555478,0.043486,S0^-,S0
2MASX J10254096+3910465,0.061548,E0,E
2MASX J10261377+1102324,0.031685,S,S0
2MASX J10313926+0347232,0.073622,S0^-,S0
2MASX J10325325+5306478,0.063778,E0,E
2MASX J10325390+1204467,0.032288,S0/a,S0/a
2MASX J10325390+1204467,0.032288,S0/a,S0
2MASX J10331986+5804330,0.045454,S0,S0
2MASX J10341451+0204479,0.067342,AGN,S0
2MASX J10341451+0204479,0.067342,AGN,S0/a
2MASX J10341974+5644234,0.044644,S0^-,S0
2MASX J10360559-0031081,0.035873,Sa,E
2MASX J10394783+0434497,0.071970,E0,E
2MASX J10411852+1032363,0.045871,S0,S0
2MASX J10430371+4431026,0.060100,S0,S0
2MASX J10430922+5233242,0.064894,E0,E
2MASX J10451601+4513570,0.028973,SBa,S0
2MASX J10454657+4629030,0.053791,S0^-,S0
2MASX J10464828+5634044,0.044994,S0/a,S0
2MASX J10464828+5634044,0.044994,S0/a,S0/a
2MASX J10580219+0809425,0.057406,S0/a,S0
2MASX J10580219+0809425,0.057406,S0/a,S0/a
2MASX J11001119+0935337,0.035221,S0/a,S0/a
2MASX J11001119+0935337,0.035221,S0/a,S0
2MASX J11021272+0824186,0.050268,S0/a,S0/a
2MASX J11021272+0824186,0.050268,S0/a,S0
2MASX J11043263+0855041,0.041037,S0/a,S0/a
2MASX J11043263+0855041,0.041037,S0/a,S0
2MASX J11052871+4649157,0.089141,E0,E
2MASX J11081973+1203291,0.045751,S0^-,S0
2MASX J11083381+0251295,0.030312,S0/a,S0
2MASX J11083381+0251295,0.030312,S0/a,S0/a
2MASX J11101621+0748226,0.044589,S0/a,S0
2MASX J11101621+0748226,0.044589,S0/a,S0/a
2MASX J11180402+6227146,0.057675,S0,S0
2MASX J11180665+5945545,0.036273,E0,E
2MASX J11185979+5649178,0.047966,S0/a,S0
2MASX J11185979+5649178,0.047966,S0/a,S0/a
2MASX J11250727+4942023,0.049942,S0/a,S0/a
2MASX J11250727+4942023,0.049942,S0/a,S0
2MASX J11305794-0108510,0.047959,Sy,S0
2MASX J11332083-0220418,0.040990,S0/a,S0/a
2MASX J11332083-0220418,0.040990,S0/a,S0
2MASX J11350862+4917177,0.032839,S0,S0
2MASX J11351331-1333053,0.072410,,E
2MASX J11351331-1333053,0.072410,,S0
2MASX J11363384+4851512,0.033371,S0,S0
2MASX J11545373+5020087,0.052306,E0,E
2MASX J11552978+4947477,0.053551,S0/a,S0/a
2MASX J11552978+4947477,0.053551,S0/a,S0
2MASX J11554321+0859379,0.047670,S0/a,S0/a
2MASX J11554321+0859379,0.047670,S0/a,S0
2MASX J11560756+5310381,0.049893,E0,E
2MASX J11595215+5532053,0.080779,BrClG,E
2MASX J12012530+1038162,0.062381,BrClG,E
2MASX J12015073+0931597,0.061931,S0^-,S0
2MASX J12080385+0022436,0.040601,S0/a,S0
2MASX J12080385+0022436,0.040601,S0/a,S0/a
2MASX J12092609+4411380,0.037342,S0,S0
2MASX J12112117+4431494,0.054497,S0,S0
2MASX J12155414+5428326,0.032237,S0,S0
2MASX J12172863+0410598,0.079147,S0,S0
2MASX J12192522+0037514,0.021666,S0,S0
2MASX J12235785+0915108,0.025484,S0^-,S0
2MASX J12242916+0921403,0.022284,S0/a,S0
2MASX J12242916+0921403,0.022284,S0/a,S0/a
2MASX J12295039+5802199,0.032668,S0,S0
2MASX J12330605+0046416,0.031207,S0,S0
2MASX J12362554+0954515,0.093150,S0/a,S0
2MASX J12362554+0954515,0.093150,S0/a,S0/a
2MASX J12362594+0856405,0.027732,S0,S0
2MASX J12365712+1025489,0.024774,S0/a,S0
2MASX J12365712+1025489,0.024774,S0/a,S0/a
2MASX J12445670+5454088,0.016523,S0,S0
2MASX J12542891-2917316,0.049931,S0,S0
2MASX J12555984-0804329,0.013366,,S0
2MASX J12571157-1724344,0.047476,cD;E+4,E
2MASX J12584168+5124436,0.035213,S0,S0
2MASX J13083072+5038311,0.029314,HII,S0
2MASX J13083072+5038311,0.029314,HII,S0/a
2MASX J13111249+4431294,0.035437,S0,S0
2MASX J13163014+4400001,0.051629,E0,E
2MASX J13272961-3123237,0.047636,E,E
2MASX J13274780-3124507,0.047129,S0,S0
2MASX J13275898-3129127,0.055598,S0,E
2MASX J13281048-3123098,0.044101,E,E
2MASX J13290619-3132077,0.041395,S,S0
2MASX J13302178-3153499,0.051772,S0,S0
2MASX J13303418-3131419,0.051032,S0,S0
2MASX J13305483-3134226,0.050732,S0/S,S0
2MASX J13310171-3123046,0.051229,S0,S0
2MASX J13312752-3149140,0.043884,E2 pec,E
2MASX J13313757-3133061,0.047406,E,E
2MASX J13323927-3149525,0.043430,S0,S0
2MASX J13331174-3140089,0.048070,E/S0,S0
2MASX J13331174-3140089,0.048070,E/S0,E
2MASX J13333709-3138281,0.050395,S0,S0
2MASX J13342636+5922256,0.072302,E0,E
2MASX J13345012-3144476,0.047967,S0,S0
2MASX J13403255+0505193,0.022916,S0^-,S0
2MASX J13420622+4649276,0.037565,S0/a,S0
2MASX J13420622+4649276,0.037565,S0/a,S0/a
2MASX J13520223+6650202,0.067711,E0,E
2MASX J13520776+0525555,0.079035,S0/a,S0/a
2MASX J13520776+0525555,0.079035,S0/a,S0
2MASX J13525169-0236301,0.075100,E0,E
2MASX J13590391+3711255,0.050635,S0/a,S0/a
2MASX J13590391+3711255,0.050635,S0/a,S0
2MASX J14040739+0008386,0.047713,S0,S0
2MASX J14144654+6010200,0.035823,S0,S0
2MASX J14151372+4140278,0.084125,E0,E
2MASX J14170308+3629238,0.011156,S0^-,S0
2MASX J14192411+4554021,0.026460,S0/a,S0/a
2MASX J14192411+4554021,0.026460,S0/a,S0
2MASX J14244342-0134127,0.057117,S0^-,S0
2MASX J14245390+0244590,0.056908,S0^-,S0
2MASX J14251242+4555128,0.034970,S0/a,S0
2MASX J14251242+4555128,0.034970,S0/a,S0/a
2MASX J14255668+0036461,0.055418,S0,S0
2MASX J14365049-0037192,0.038093,S0/a,S0/a
2MASX J14365049-0037192,0.038093,S0/a,S0
2MASX J14370076+5951436,0.046092,E0,E
2MASX J14372624+3857328,0.031186,S0^-,S0
2MASX J14375537+0359040,0.029151,S0,S0
2MASX J14390570-0206569,0.040322,S0,S0
2MASX J14390686+0359566,0.026881,S0/a,S0/a
2MASX J14390686+0359566,0.026881,S0/a,S0
2MASX J14393976+0343153,0.026108,S0/a,S0/a
2MASX J14393976+0343153,0.026108,S0/a,S0
2MASX J14394136+0337323,0.028351,S0/a,S0/a
2MASX J14394136+0337323,0.028351,S0/a,S0
2MASX J14401636+0331121,0.027400,S0,S0
2MASX J14402216+0344081,0.025958,NLAGN,S0/a
2MASX J14402216+0344081,0.025958,NLAGN,S0
2MASX J14410337+0411385,0.027095,S0,S0
2MASX J14421686+0348451,0.025754,S0,S0
2MASX J14443015+4854160,0.049744,S0/a,S0/a
2MASX J14443015+4854160,0.049744,S0/a,S0
2MASX J14465865+0150230,0.033766,S0/a,S0
2MASX J14465865+0150230,0.033766,S0/a,S0/a
2MASX J14543569+6317113,0.048623,S0/a,S0
2MASX J14543569+6317113,0.048623,S0/a,S0/a
2MASX J14550876-0134033,0.048311,S0/a,S0
2MASX J14550876-0134033,0.048311,S0/a,S0/a
2MASX J14582897+0324249,0.043649,S0^-,S0
2MASX J15004835+0010352,0.041108,S0/a,S0
2MASX J15004835+0010352,0.041108,S0/a,S0/a
2MASX J15004978+4909209,0.031434,S0/a,S0
2MASX J15004978+4909209,0.031434,S0/a,S0/a
2MASX J15013533+4254495,0.050422,S0/a,S0/a
2MASX J15013533+4254495,0.050422,S0/a,S0
2MASX J15124391+0733373,0.045892,S0,S0
2MASX J15222192+0031433,0.052580,E0,E
2MASX J15264893+5915476,0.045693,E0,E
2MASX J15275790+4258162,0.018926,S0/a,S0
2MASX J15275790+4258162,0.018926,S0/a,S0/a
2MASX J15293269+0303114,0.038691,NLAGN,S0/a
2MASX J15293269+0303114,0.038691,NLAGN,S0
2MASX J15393851+4934168,0.025030,Sab,S0
2MASX J15445321+0024153,0.033266,S0,S0
2MASX J15481174+0904250,0.039269,E0,E
2MASX J15504070+0757292,0.041868,S0,S0
2MASX J15505152+4202325,0.033334,AGN,S0
2MASX J15505152+4202325,0.033334,AGN,S0/a
2MASX J15513026+4907280,0.034707,S0/a,S0/a
2MASX J15513026+4907280,0.034707,S0/a,S0
2MASX J15530008+0604515,0.033286,S0^-,S0
2MASX J15543697+4752372,0.070758,S0,S0
2MASX J15592210+4851212,0.044267,S0/a,S0
2MASX J15592210+4851212,0.044267,S0/a,S0/a
2MASX J15593630+3747044,0.067920,E0,E
2MASX J16020022+4752549,0.043044,AGN+SF,S0
2MASX J16075652+3858157,0.039316,S0/a,S0
2MASX J16075652+3858157,0.039316,S0/a,S0/a
2MASX J16103779+5324208,0.063890,AGN,E
2MASX J16153176+2855427,0.032723,Sa,S0/a
2MASX J16153176+2855427,0.032723,Sa,S0
2MASX J16192929+3805541,0.067600,E0,E
2MASX J16201969+3733515,0.067675,E0,E
2MASX J16210609+2753543,0.066522,S0/a,S0
2MASX J16210609+2753543,0.066522,S0/a,S0/a
2MASX J16214814+3930576,0.059795,E0,E
2MASX J16214909+4703079,0.029506,S0/a,S0
2MASX J16214909+4703079,0.029506,S0/a,S0/a
2MASX J16253907+3948364,0.046766,S0,S0
2MASX J16255437+3927244,0.045480,E,E
2MASX J16262345+3904547,0.054818,S0,S0
2MASX J16280674+3901339,0.077790,S0,S0
2MASX J16280771+3931229,0.030511,S0,E
2MASX J16285507+3910159,0.026440,S0,S0
2MASX J16292793+4850303,0.035329,S0/a,S0/a
2MASX J16292793+4850303,0.035329,S0/a,S0
2MASX J16375293+2615409,0.052256,E0,E
2MASX J16492205+2440454,0.036151,S0/a,S0
2MASX J16492205+2440454,0.036151,S0/a,S0/a
2MASX J16520295+4045089,0.052550,E0,E
2MASX J16542878+3922190,0.035278,E0,E
2MASX J17024247+3403363,0.099298,BrClG,E
2MASX J17034995+3049337,0.033953,S0,S0
2MASX J17081423+3314579,0.035809,S0,S0
2MASX J17132111+2220021,0.049448,S0/a,S0
2MASX J17132111+2220021,0.049448,S0/a,S0/a
2MASX J17183556+2938046,0.028869,S0,S0
2MASX J17214469+5904574,0.034002,S0/a,S0
2MASX J17214469+5904574,0.034002,S0/a,S0/a
2MASX J20090639-5422478,0.053093,cD;E+1 pec,E
2MASX J20121624-5704592,0.053420,S0,S0
2MASX J20142380-5656509,0.060455,S0,S0
2MASX J20150813-5703120,0.052860,S0,S0
2MASX J20154695-5719565,0.056520,S0,S0
2MASX J20442151-5326081,0.044892,S0,S0
2MASX J20484393-0056117,0.054280,S0,S0
2MASX J20532581+0017095,0.029060,,S0
2MASX J21020388-2752163,0.042119,S0,S0
2MASX J21020654+0012088,0.050391,S0,S0
2MASX J21023701-3530361,0.038660,E,E
2MASX J21030090-4713219,0.016508,E,E
2MASX J21071676-3647524,0.042240,E,E
2MASX J21082151-0108129,0.058893,S0,S0
2MASX J21084941-3607462,0.044744,S0,S0
2MASX J21085384-3715572,0.052960,E,E
2MASX J21100815-0046227,0.033647,E0,E
2MASX J21113104+1108379,0.016918,S0^-,S0
2MASX J21162723+1046036,0.070276,E0,E
2MASX J21171829-0613471,0.029606,S0/a,S0
2MASX J21171829-0613471,0.029606,S0/a,S0/a
2MASX J21183331-4833303,0.035056,S0,S0
2MASX J21192510-4701301,0.032399,E,E
2MASX J21192590-0645304,0.027611,S0/a,S0/a
2MASX J21192590-0645304,0.027611,S0/a,S0
2MASX J21222292-5600143,0.051796,S0,S0
2MASX J21260114-2317530,0.043690,S0,S0
2MASX J21264918+1203182,0.045465,S0/a,S0/a
2MASX J21264918+1203182,0.045465,S0/a,S0
2MASX J21274330+1206248,0.047020,E0,E
2MASX J21291335-0031255,0.030013,S0,S0
2MASX J21291856+1112040,0.089105,E0,E
2MASX J21315192-3516349,0.027448,E,E
2MASX J21325979-3409532,0.040570,S0,S0
2MASX J21331089+1152293,0.062594,E0,E
2MASX J21332271-7155194,0.057136,S0,S0
2MASX J21431871-3632521,0.045573,E,E
2MASX J21545800-6701557,0.028159,S0,S0
2MASX J21570610-6846246,0.035835,S0,S0
2MASX J21573369-0727293,0.057729,S0/a,S0
2MASX J21573369-0727293,0.057729,S0/a,S0/a
2MASX J22012088+1211481,0.029108,S0/a,S0/a
2MASX J22012088+1211481,0.029108,S0/a,S0
2MASX J22061702-0833072,0.017133,HII,S0/a
2MASX J22061702-0833072,0.017133,HII,S0
2MASX J22072525-3322513,0.008869,E,E
2MASX J22124130+1404345,0.025176,E0,E
2MASX J22133875-4319574,0.064778,E,E
2MASX J22141404+1352322,0.024261,S0,S0
2MASX J22165239+1325329,0.025592,S0,S0
2MASX J22185266-4012348,0.048790,S0,S0
2MASX J22270719-6904508,0.067420,E,S0
2MASX J22270719-6904508,0.067420,E,E
2MASX J22272371-3029446,0.056195,E,E
2MASX J22285663-6314163,0.060288,S0,S0
2MASX J22285975-3626062,0.043247,E,E
2MASX J22292589-3301163,0.028967,E,E
2MASX J22340984-0945493,0.031522,S0,S0
2MASX J22430359-0008367,0.055282,S0,S0
2MASX J22501292-5543249,0.072657,S0,S0
2MASX J22532581-0903541,0.032067,S0^-,S0
2MASX J22563492+1453117,0.031781,S0/a,S0/a
2MASX J22563492+1453117,0.031781,S0/a,S0
2MASX J22571092-3640103,0.006488,"dE0,N",S0
2MASX J22572015-2133560,0.021632,S0             HII,S0
2MASX J23014658+1332186,0.034097,S0/a,S0
2MASX J23014658+1332186,0.034097,S0/a,S0/a
2MASX J23055556-4241575,0.035711,E,E
2MASX J23113243-3305078,0.060468,E,E
2MASX J23191481+0100256,0.034300,S0/a,S0/a
2MASX J23191481+0100256,0.034300,S0/a,S0
2MASX J23212630-2312281,0.086250,cD,E
